SampleName,SamplePath
PDS2324452-1,/data/PDS_Diagnostics_2023/17Aug23_EnteroPDS2324452_PC/17Aug23_EnteroPDS2324452_PC/20230817_1957_X2_FAX25590_a0ddeca3/fastq_pass/PDS2324452-1
PDS2325724-1,/data/PDS_Diagnostics_2023/PDS2325724_Entero_29Aug23_PC/PDS2325724_Entero_29Aug23_PC/20230829_1242_X1_FAW55107_530bd973/PDS2325724-1
